Door,7
Door Stop,3
Dormouse,4
Doughnut,3
Dove,4
Dragon,9
Dragonfly,2
Drain,3
Drapes,7
Drawer,4
Dress,4
Dressers,6
Drill,5
Drill Press,6
Dromaeosaurus,9
Drop,1
Dryer,6
Duck,6
Dugout,7
Dung Beetle,2
Dust Pan,5
Duvet,5
Eagle,5
Ear,3
Ears,3
Earthworm,2
Earwig,1
Echidna,5
Edmontonia,5
Edmontosaurus,9
Eel,6
Egg,3
Eggplant,4
Egret,5
Elephant,6
Elephant Seal,5
Elk,8
Emu,6
End Tables,5
Engine,7
English Pointer,6
Eraser,1
Ermine,5
Euoplocephalus,4
European Bison,6
Extension Cord,5
Eye,3
Eye Liner,2
Eyebrows,2
Eyes,4
Face,4
Face Wash,4
Fake Flowers,4
Falcon,5
Fan,5
Farm,6
Father,7
Feather,2
Feet,4
Fence,5
Fennec Fox,4
Ferret,4
Field,6
Figurine,3
File Cabinet,5
Film,7
Finch,3
Finger,3
Fingers,5
Fire Department,8
Fire Extinguisher,5
Fire Station,5
Firefly,1
First Baseman,6
Fish,4
Flag,6
Flamingo,5
Flashlight,3
Flatware,4
Flea,4
Floor,8
Flowers,3
Fly,2
Flying Fish,3
Flying Squirrel,4
Folder,5
Food,6
Foot,4
Forehead,4
Forest,10
Fork,4
Forks,3
Foul,5
Foul Line,9
Four Ball,7
Fowl,4
Fox,5
Frame,5
Fridge,5
Frog,4
Fruit,5
Fruit Bat,3
Fry,3
Furnace,5
Furniture,7
Galliform,4
Gallimimus,4
Gamefowl,4
Games,4
Garage,6
Garden,9
Gas Station,8
Gazelle,7
Gear,5
Gecko,3
Gerbil,3
Giant Panda Bear,6
Giant Squid,7
Gibbon,6
Gila Monster,7
Giraffe,9
Girl,6
Glass,4
Glasses,4
Glove,4
Gloves,4
Glow Stick,3
Glyptodon,6
Goat,5
Golden Eagle,6
Goldfish,2
Goose,5
Gopher,4
Gorilla,7
Granddaughter,4
Grandmother,7
Grandson,6
Grapefruit,4
Grapes,2
Grasshopper,2
Great Blue Heron,6
Great White Shark,6
Grebe,5
Green Pepper,3
Greeting Card,4
Grid Paper,5
Grill,6
Grizzly Bear,7
Ground Sloth,4
Grouse,4
Guan,3
Guanaco,7
Guard,8
Guinea Pig,4
Guineafowl,5
Gull,5
Gun,5
Guppy,3
Haddock,5
Hadrosaurus,7
Hair,1
Hair Brush,3
Hair Tie,3
Halibut,4
Hall,8
Hallway,8
Hammer,4
Hammerhead Shark,7
Hamster,3
Hand,3
Hands,5
Hanger,4
Hare,6
Harrier,3
Hat,4
Hawk,4
Head,5
Headlight,3
Headphones,6
Heart,5
Heater,4
Hedgehog,5
Helicopter,9
Helmet,4
Hermit Crab,4
Heron,5
Herring,5
Hill,9
Hippopotamus,7
Hips,5
Hit,5
Home Plate,5
Hook,4
Hookworm,1
Horn,5
Hornet,1
Horse,8
Hospital,9
House,8
Houseplant,4
Hoverfly,5
Hubcap,5
Human,7
Hummingbird,2
Humpback Whale,9
Hyena,3
Hyrax,4
Ibis,5
Ice Cream,4
Ice Cube Tray,3
Iguana,3
Iguanadon,5
Indian Rhinoceros,8
Inning,5
Interest,2
Iphone,3
Ipod,4
Iron,6
Ironing Board,6
Island,8
Jacana,4
Jackal,6
Jacket,5
Jaguar,7
Javan Rhinoceros,7
Jay,4
Jeans,6
Jellyfish,5
Jet,9
Jewel,2
Jewelry,3
Jungle Fowl,3
Kangaroo,7
Kangaroo Mouse,3
Kangaroo Rat,3
Kentrosaurus,4
Kettle,5
Key,3
Key Chain,2
Keyboard,4
Keys,4
Kingfisher,8
Kitchen,7
Kite,6
Kitten,6
Kiwi,4
Knee,3
Knees,4
Knife,4
Knives,5
Knot,1
Koala Bear,4
Koi,3
Komodo Dragon,6
Krill,1
Lace,3
Ladybug,1
Lake,10
Lambeosaurus,5
Lamp,5
Lamp Shade,5
Lamprey,4
Land Snail,3
Landfowl,4
Lapwing,4
Lark,6
Leaf,6
Leech,3
Left Fielder,6
Leg,6
Leg Warmers,6
Legs,6
Lemming,4
Lemon,5
Lemur,5
Lend,3
Leopard,7
Leopon,6
Lettuce,4
Library,9
License Plate,4
Light Bulbs,3
Light Switch,7
Lime,4
Limpet,2
Line,4
Linens,4
Lion,8
Lionfish,3
Lip,2
Lip Gloss,3
Lips,4
Lipstick,3
Living Room,8
Lizard,4
Llama,7
Loan,4
Lobster,4
Lock,4
Locust,1
Loon,6
Loris,4
Lotion,3
Louse,4
Lungfish,6
Lynx,6
Macaw,4
Mackerel,4
Magnet,2
Magnets,2
Magpie,5
Major League,9
Make-up,3
Mall,7
Mallard,4
Manager,7
Manatee,6
Mandrill,6
Manta Ray,6
Map,6
Markers,3
Marlin,5
Marmoset,4
Marmot,4
Marten,5
Mastodon,8
Match,3
Maya,6
Meadowlark,5
Measuring Cup,5
Measuring Spoon,3
Medicine,3
Meerkat,4
Megamouth Shark,6
Melon,6
Mementos,3
Microwave,5
Milk,4
Mink,4
Minnow,3
Minor League,7
Mirror,7
Mite,3
Mixing Bowl,5
Mockingbird,4
Model Car,6
Mole,3
Mollusk,3
Money,2
Mongoose,4
Monitor,5
Monitor Lizard,4
Monkey,5
Moon,9
Moose,6
Mop,7
Mortgage,5
Mosquito,1
Moth,1
Mother,7
Motorcycle,7
Mountain,10
Mountain Goat,6
Mouse,3
Mouse Pad,3
Mouth,4
Movie Theater,9
Mp3 Player,3
Muffin,3
Mug,3
Mugs,4
Mule,7
Muscle,5
Museum,10
Musical Instruments,6
Muskox,7
Nail,3
Nail Clippers,2
Nail File,3
Napkin,3
Napkins,4
Narwhale,7
Neck,2
Needle,2
Needlefish,5
Nephew,7
Nerve,5
Net,7
New World Quail,5
Newspaper,5
Newt,3
Nick-knacks,5
Niece,6
Nighthawk,3
Nightingale,3
Nile Crocodile,7
Nose,2
Note Pad,3
Note Paper,3
Notebook,5
Notepad,4
Numbat,4
Nut,1
Ocean,10
Ocelot,3
Octopus,5
Office,7
Office Building,9
Okapi,4
Old World Quail,3
Olingo,4
Onion,3
Opossum,4
Orange,5
Orangutan,6
Orca,8
Oribi,5
Ostrich,6
Otter,4
Outlet,7
Oven,4
Oviraptor,5
Owl,3
Owl-faced Monkey,6
Ox,6
Pack Of Cigarettes,3
Packing Peanuts,4
Pacycephalosaurus,3
Paint Brush,4
Paintings,5
Pajamas,7
Panda,6
Panda Bear,6
Pans,5
Panther,6
Pants,5
Paper,3
Paper Towels,5
Parakeet,5
Parasaurolophus,3
Parcel,3
Park,7
Parking Meter,5
Parrot,5
Parrotfish,4
Partridge,5
Pay,2
Peach,3
Peacock,7
Peafowl,4
Pear,4
Peas,2
Pedestrian Crossing,8
Pelican,6
Pen,3
Pencil,3
Pencil Sharpener,3
Penguin,4
Pepper,1
Perch,5
Peregrine Falcon,5
Perfume,4
Persimmon,2
Pheasant,4
Phone,4
Phones,4
Photo Album,4
Photographs,3
Piano,5
Picture,3
Picture Frame,4
Pictures,4
Pie,4
Pig,5
Pigeon,5
Pike,4
Pillow,5
Pillows,5
Pilot Whale,8
Pin,4
Pineapple,5
Pipe,5
Piranha,5
Pitch,6
Pitcher,4
Planarian,1
Plane,7
Plants,6
Plastic Fork,3
Plastic Plates,4
Plate,6
Plateosaurus,9
Plates,5
Platypus,3
Playing Card,3
Pliers,4
Plow,7
Plum,3
Poach,5
Pocket,2
Polar Bear,5
Police Station,9
Pond,6
Pony,6
Pool Stick,6
Porch,6
Porcupine,5
Porpoise,7
Portuguese Man O' War,6
Possum,5
Post Office,7
Pot,5
Potato,3
Potato Chips,3
Potholder,5
Pots,5
Prairie Dog,5
Prawn,2
Praying Mantis,2
Prescriptions,3
Prison,10
Ptarmigan,4
Pudding,4
Puddle,4
Puffin,4
Puma,6
Pump,6
Pumpkin,5
Puppy,5
Purse,4
Pygmy Hippopotamus,7
Python,6
Quail,2
Quetzal,4
Quetzalcoatlus,8
Quokka,5
Rabbit,4
Raccoon,6
Radiator,5
Radio,6
Radio Cassette Player,5
Radish,4
Rags,5
Rail,6
Rainbow Trout,5
Raincoat,6
Rat,3
Rattlesnake,6
Raven,3
Ray,4
Rearview Mirror,5
Receipt,3
Red Deer,6
Red Fox,5
Red Panda,5
Red Squirrel,5
Refrigerator,7
Reindeer,6
Remote,4
Restaurant,9
Rhinoceros,6
Right Fielder,6
Right Whale,7
Ring,1
River,5
Road,6
Roadrunner,5
Roast,5
Rod,5
Roll Of Film,3
Rolling Pin,5
Roof,6
Rook,4
Room,9
Rooster,4
Root,3
Roundworm,2
Rubber Band,2
Rubber Duck,4
Rug,6
Rugs,8
Run,7
Runner,6
Rusty Nail,2
Saber-toothed Cat,5
Sail,7
Sailboat,9
Sailfish,4
Salad,5
Salamander,4
Salmon,4
Salt,1
Sand Paper,4
Sandal,5
Saucer,4
Save,3
Savings,4
Saw,5
Sawfish,6
Scale Insect,2
Scallop,4
Scarf,6
School,10
Scissors,3
Scoreboard,7
Scorpion,2
Scotch Tape,4
Scramble,2
Screw,2
Screw Driver,3
Screwdriver,3
Sea,10
Sea Lion,7
Sea Slug,2
Sea Snail,2
Seahorse,3
Seal,5
Seat,6
Seat Belt,5
Second Baseman,6
Seed,1
Serval,6
Settee,4
Shades,5
Shampoo,4
Shark,7
Sharpie,3
Shawl,5
Sheep,5
Sheets,3
Shelf,5
Ship,8
Shirt,5
Shirts,6
Shoe,4
Shoe Lace,2
Shoes,3
Short Stop,7
Shoulders,5
Shovel,6
Shrew,3
Shrimp,2
Sidewalk,6
Silkworm,2
Silverfish,2
Simmer,4
Sink,5
Sister,7
Skate,5
Sketch Pad,5
Skin,7
Skink,3
Skirt,4
Skunk,4
Slacks,6
Slide,8
Slipper,5
Slippers,5
Sloth,6
Slug,2
Smelt,3
Smoke Detector,3
Snail,3
Snake,6
Sneakers,4
Snipe,2
Snow Leopard,5
Soap,4
Sock,4
Sockeye Salmon,5
Socks,4
Soda Can,5
Sofa,8
Sole,6
Son,6
Soy Sauce Packet,3
Spade,5
Sparrow,4
Spatula,4
Speakers,7
Speedometer,3
Sperm Whale,9
Spider,3
Spider Monkey,5
Spinach,3
Spinosaurus,7
Sponge,4
Spoon,5
Spoonbill,5
Spoons,2
Spring,1
Square,6
Squid,4
Squirrel,3
Stairs,8
Stamp,2
Star,9
Star-nosed Mole,3
Starfish,3
Station,9
Steal,2
Steam,4
Stegosaurus,6
Stem,5
Stepdaughter,7
Stepmother,7
Stepson,3
Stereo System,6
Stick,4
Sticky Note,4
Stingray,5
Stoat,5
Stocking,5
Stockings,4
Stomach,5
Stop Sign,5
Store,9
Stork,4
Strainer,3
Strawberry,2
Stream,9
Street,6
Street Lights,7
Strike,7
Strike Out,6
Struthiomimus,7
Sturgeon,5
Styracosaurus,6
Subway,8
Suchomimus,5
Sugar,3
Sugar Glider,3
Suit,6
Suitcases,5
Sumatran Rhinoceros,6
Sun,7
Sun Glasses,3
Supermarket,9
Supplies,5
Swallow,3
Swan,4
Sweater,6
Sweatshirt,6
Sweeper,7
Sweet Potato,4
Sweet Roll,4
Swift,8
Swordfish,6
Swordtail,4
T-shirt,6
Table,6
Tablecloth,6
Tables,8
Tahr,6
Tail,4
Taillight,5
Takin,5
Tangerine,4
Tapir,3
Tarantula,5
Tarsier,5
Tasmanian Devil,5
Taxi,8
Teddies,4
Teeth,3
Telephone,4
Television,6
Teller,7
Termite,1
Tern,2
Terrapin,4
Textbook,5
Thermometer,3
Thermostat,3
Third Baseman,7
Thread,4
Throat,3
Throw,5
Thrush,3
Thumb,2
Tick,1
Ticket,4
Tickets,3
Tie,5
Tiger,6
Tiger Shark,6
Tiglon,6
Timer,2
Timers,2
Tire,5
Tire Swing,6
Tissue Box,4
Tissues,4
Titi,4
Toad,4
Toaster,5
Toe,4
Toe Ring,2
Toes,2
Toilet,7
Toilet Paper,3
Tomato,4
Tongue,3
Tooth,2
Tooth Picks,2
Toothbrush,2
Toothpaste,4
Tortoise,6
Toucan,4
Towel,7
Towels,5
Town,9
Toys,4
Train,9
Train Station,9
Trapdoor Spider,4
Trash Can,6
Tray,5
Tree,9
Tree Frog,3
Triceratops,6
Trousers,6
Trout,6
Truck,8
Trunk,7
Tuna,4
Turkey,5
Turn Signal,4
Turnip,3
Turtle,4
Tv,7
Twezzers,3
Twister,5
Tyrannosaurus Rex,6
Uakari,6
Umbrella,5
Umbrella Bird,4
Umpire,5
Uncle,7
Underclothes,4
Underpants,5
Undershirt,4
Unicorn,7
Urial,8
Usb Drive,4
Vacuum,5
Valley,7
Vampire Bat,3
Vampire Squid,6
Vaquita,6
Vase,3
Vault,8
Velociraptor,6
Vicuͱa,7
Video Camera,4
Video Games,4
Viper,7
Vise,6
Vixen,6
Vole,3
Vulture,5
Wagon,7
Waist,5
Walk,6
Wall,8
Wallaby,4
Wallet,4
Walrus,7
Warbler,5
Washer,4
Washing Machine,6
Wasp,1
Watch,3
Water Bottle,4
Water Buffalo,7
Water Chevrotain,6
Waterbuck,7
Waterfall,8
Watermelon,5
Weasel,3
Whale,9
Wheel,6
Whip,6
Whippet,6
Whistle,2
White Board,6
White Out,2
White Rhinoceros,8
Whitefish,5
Whooping Crane,6
Wild Boar,5
Wildcat,6
Wildebeest,8
Wildfowl,4
Window,6
Windshield,7
Windshield Wiper,6
Wing,4
Wire,2
Withdraw,4
Wolf,5
Wolverine,6
Wombat,4
Wood Lemming,3
Woodchuck,3
Woodpecker,3
Woods,9
Woolly Dormouse,2
Woolly Hare,5
Woolly Mammoth,8
Woolly Rhinoceros,7
Worm,1
Wren,4
Wrench,5
X-ray Fish,4
Yak,6
Yapok,5
Yellow Jacket,1
Yellow Perch,4
Zebra,6
Zebra Duiker,7
Zebra Finch,3
Zebra Shark,7
Zebu,7
Zipper,4
Zorilla,6
